frequency,model,stimulus length (ms),threshold (uA)
0.125,rattay_01,0.5,337.6785278320313
0.125,rattay_01,2.0,212.109375
0.125,rattay_01,10.0,97.77374267578124
0.25,rattay_01,0.5,176.7425537109375
0.25,rattay_01,2.0,372.1115112304688
0.25,rattay_01,10.0,62.15057373046877
0.5,rattay_01,0.5,105.79376220703124
0.5,rattay_01,2.0,56.32781982421876
0.5,rattay_01,10.0,56.31866455078125
1.0,rattay_01,0.5,95.48492431640624
1.0,rattay_01,2.0,63.27209472656252
1.0,rattay_01,10.0,63.27209472656252
2.0,rattay_01,0.5,117.05932617187504
2.0,rattay_01,2.0,115.2191162109375
2.0,rattay_01,10.0,115.155029296875
4.0,rattay_01,0.5,218.73321533203128
4.0,rattay_01,2.0,234.10949707031253
4.0,rattay_01,10.0,234.10949707031253
8.0,rattay_01,0.5,464.65759277343767
8.0,rattay_01,2.0,528.4286499023439
8.0,rattay_01,10.0,528.4286499023439
16.0,rattay_01,0.5,1114.4668579101562
16.0,rattay_01,2.0,1233.0734252929688
16.0,rattay_01,10.0,1233.0734252929688
0.125,frijns_94,0.5,779.2831420898436
0.125,frijns_94,2.0,277.093505859375
0.125,frijns_94,10.0,89.93682861328126
0.25,frijns_94,0.5,413.82751464843744
0.25,frijns_94,2.0,253.68347167968747
0.25,frijns_94,10.0,77.15148925781251
0.5,frijns_94,0.5,263.6810302734375
0.5,frijns_94,2.0,74.76654052734376
0.5,frijns_94,10.0,74.76654052734376
1.0,frijns_94,0.5,252.7496337890625
1.0,frijns_94,2.0,76.7852783203125
1.0,frijns_94,10.0,76.7852783203125
2.0,frijns_94,0.5,83.66546630859375
2.0,frijns_94,2.0,83.6700439453125
2.0,frijns_94,10.0,83.6700439453125
4.0,frijns_94,0.5,98.9959716796875
4.0,frijns_94,2.0,98.9959716796875
4.0,frijns_94,10.0,98.9959716796875
8.0,frijns_94,0.5,131.06231689453128
8.0,frijns_94,2.0,131.06689453125003
8.0,frijns_94,10.0,131.06689453125003
16.0,frijns_94,0.5,192.25158691406253
16.0,frijns_94,2.0,192.25158691406253
16.0,frijns_94,10.0,192.25158691406253
0.125,briaire_05,2.0,613.6322021484375
0.125,briaire_05,10.0,263.26904296875006
0.25,briaire_05,0.5,932.1304321289062
0.25,briaire_05,2.0,562.6373291015626
0.25,briaire_05,10.0,231.19354248046884
0.5,briaire_05,0.5,588.6245727539064
0.5,briaire_05,2.0,224.13024902343759
0.5,briaire_05,10.0,224.13024902343759
1.0,briaire_05,0.5,559.3780517578126
1.0,briaire_05,2.0,232.71789550781253
1.0,briaire_05,10.0,232.71789550781253
2.0,briaire_05,0.5,259.78546142578125
2.0,briaire_05,2.0,259.85870361328125
2.0,briaire_05,10.0,259.85870361328125
4.0,briaire_05,0.5,322.0413208007813
