pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,461.26,1*threshold,0,0.00037
400,461.26,1*threshold,0,0.010339999999999998
400,461.26,1*threshold,0,0.015379999999999998
400,461.26,1*threshold,0,0.022834999999999998
400,461.26,1*threshold,0,0.025359999999999997
400,461.26,1*threshold,0,0.02788
400,461.26,1*threshold,0,0.030399999999999996
400,461.26,1*threshold,0,0.032955
400,461.26,1*threshold,0,0.040354999999999995
400,461.26,1*threshold,0,0.045344999999999996
400,461.26,1*threshold,0,0.050355
400,461.26,1*threshold,0,0.052875
400,461.26,1*threshold,0,0.05541499999999999
400,461.26,1*threshold,0,0.057909999999999996
400,461.26,1*threshold,0,0.07035
400,461.26,1*threshold,0,0.08285999999999999
400,461.26,1*threshold,0,0.09036
400,461.26,1*threshold,0,0.10540999999999999
400,461.26,1*threshold,0,0.110395
400,461.26,1*threshold,0,0.11288
400,461.26,1*threshold,0,0.120345
400,461.26,1*threshold,0,0.12287
400,461.26,1*threshold,0,0.130345
400,461.26,1*threshold,0,0.147885
400,461.26,1*threshold,0,0.15289499999999998
400,461.26,1*threshold,0,0.160355
400,461.26,1*threshold,0,0.16784999999999997
400,461.26,1*threshold,0,0.17534
400,461.26,1*threshold,0,0.182855
400,461.26,1*threshold,0,0.19035999999999997
400,461.26,1*threshold,0,0.21283999999999997
400,461.26,1*threshold,0,0.21787499999999999
400,461.26,1*threshold,0,0.24041999999999997
400,461.26,1*threshold,0,0.24541999999999997
400,461.26,1*threshold,0,0.25284999999999996
400,461.26,1*threshold,0,0.26036499999999996
400,461.26,1*threshold,0,0.26786499999999996
400,461.26,1*threshold,0,0.27288999999999997
400,461.26,1*threshold,0,0.277875
400,461.26,1*threshold,0,0.28535
400,461.26,1*threshold,0,0.29036999999999996
400,461.26,1*threshold,1,0.0029049999999999996
400,461.26,1*threshold,1,0.007855
400,461.26,1*threshold,1,0.01287
400,461.26,1*threshold,1,0.020374999999999997
400,461.26,1*threshold,1,0.025369999999999997
400,461.26,1*threshold,1,0.030364999999999996
400,461.26,1*threshold,1,0.035355
400,461.26,1*threshold,1,0.0479
400,461.26,1*threshold,1,0.06534
400,461.26,1*threshold,1,0.070335
400,461.26,1*threshold,1,0.075335
400,461.26,1*threshold,1,0.08036499999999999
400,461.26,1*threshold,1,0.090415
400,461.26,1*threshold,1,0.09784499999999999
400,461.26,1*threshold,1,0.10783499999999999
400,461.26,1*threshold,1,0.11786499999999998
400,461.26,1*threshold,1,0.12289499999999999
400,461.26,1*threshold,1,0.12549
400,461.26,1*threshold,1,0.135405
400,461.26,1*threshold,1,0.14536
400,461.26,1*threshold,1,0.15287499999999998
400,461.26,1*threshold,1,0.15788
400,461.26,1*threshold,1,0.16540999999999997
400,461.26,1*threshold,1,0.17291499999999999
400,461.26,1*threshold,1,0.180365
