phase duration (us),pulse form,threshold
40,monophasic,271.429
40,monophasic,294.054
40,monophasic,292.506
40,monophasic,344.826
40,monophasic,306.935
40,monophasic,283.723
40,monophasic,300.81
40,monophasic,344.377
40,monophasic,310.111
40,monophasic,318.43
40,monophasic,274.936
40,monophasic,294.557
40,monophasic,281.399
40,monophasic,299.001
40,monophasic,302.236
40,monophasic,294.11
40,monophasic,318.158
40,monophasic,275.416
40,monophasic,300.835
40,monophasic,287.142
40,monophasic,308.482
40,monophasic,304.271
40,monophasic,327.365
40,monophasic,313.08
40,monophasic,316.868
40,monophasic,319.601
40,monophasic,316.424
40,monophasic,321.292
40,monophasic,271.038
40,monophasic,292.891
40,monophasic,302.947
40,monophasic,295.972
40,monophasic,306.49
40,monophasic,313.568
40,monophasic,269.684
40,monophasic,268.63
40,monophasic,299.489
40,monophasic,291.548
40,monophasic,273.398
40,monophasic,294.816
40,monophasic,269.316
40,monophasic,310.743
40,monophasic,312.007
40,monophasic,319.4
40,monophasic,292.64
40,monophasic,291.378
40,monophasic,323.383
40,monophasic,284.811
40,monophasic,289.869
40,monophasic,287.284
40,monophasic,321.601
40,monophasic,284.099
40,monophasic,330.699
40,monophasic,302.954
40,monophasic,294.071
40,monophasic,319.537
40,monophasic,321.66
40,monophasic,279.656
40,monophasic,299.201
40,monophasic,305.678
100,monophasic,196.806
100,monophasic,211.073
100,monophasic,205.768
100,monophasic,216.587
100,monophasic,213.231
100,monophasic,182.948
100,monophasic,202.186
100,monophasic,174.515
100,monophasic,218.645
100,monophasic,183.214
100,monophasic,187.389
100,monophasic,239.798
100,monophasic,190.851
100,monophasic,195.728
100,monophasic,193.378
100,monophasic,180.975
100,monophasic,192.689
100,monophasic,191.068
100,monophasic,194.509
100,monophasic,185.671
100,monophasic,203.137
100,monophasic,176.162
100,monophasic,186.537
100,monophasic,219.041
100,monophasic,200.139
100,monophasic,191.651
100,monophasic,193.513
100,monophasic,187.103
100,monophasic,203.158
100,monophasic,193.392
100,monophasic,229.88
100,monophasic,204.676
100,monophasic,210.616
100,monophasic,184.521
100,monophasic,209.205
100,monophasic,196.839
100,monophasic,183.845
100,monophasic,182.878
100,monophasic,182.94
100,monophasic,195.893
100,monophasic,210.819
100,monophasic,199.876
100,monophasic,211.481
100,monophasic,195.469
100,monophasic,182.951
100,monophasic,205.904
100,monophasic,180.168
100,monophasic,181.993
100,monophasic,191.637
100,monophasic,194.254
100,monophasic,208.869
100,monophasic,199.632
100,monophasic,192.98
100,monophasic,201.671
100,monophasic,182.808
100,monophasic,189.299
100,monophasic,200.021
100,monophasic,216.411
100,monophasic,199.893
100,monophasic,202.355
200,biphasic,168.835
200,biphasic,178.02
200,biphasic,161.555
200,biphasic,151.557
200,biphasic,163.52
200,biphasic,157.357
200,biphasic,172.223
200,biphasic,148.627
200,biphasic,181.975
200,biphasic,180.125
200,biphasic,148.546
200,biphasic,163.509
200,biphasic,167.296
200,biphasic,167.756
200,biphasic,163.721
200,biphasic,170.463
200,biphasic,176.424
200,biphasic,163.433
200,biphasic,191.98
200,biphasic,163.255
200,biphasic,163.55
200,biphasic,150.066
200,biphasic,166.124
200,biphasic,161.06
200,biphasic,175.569
200,biphasic,162.032
200,biphasic,159.342
200,biphasic,162.875
200,biphasic,178.099
200,biphasic,179.469
200,biphasic,134.129
200,biphasic,175.851
200,biphasic,160.859
200,biphasic,187.561
200,biphasic,172.44
200,biphasic,170.95
200,biphasic,160.175
200,biphasic,166.292
200,biphasic,153.783
200,biphasic,167.865
200,biphasic,160.999
200,biphasic,143.654
200,biphasic,147.658
200,biphasic,164.316
200,biphasic,153.489
200,biphasic,157.1
200,biphasic,165.916
200,biphasic,170.041
200,biphasic,170.001
200,biphasic,152.028
200,biphasic,180.48
200,biphasic,181.589
200,biphasic,156.799
200,biphasic,151.858
200,biphasic,179.67
200,biphasic,171.868
200,biphasic,172.791
200,biphasic,175.217
200,biphasic,168.846
200,biphasic,168.896
400,biphasic,151.887
400,biphasic,168.21
400,biphasic,130.494
400,biphasic,160.292
400,biphasic,159.297
400,biphasic,131.623
400,biphasic,146.125
400,biphasic,152.271
400,biphasic,146.708
400,biphasic,152.427
400,biphasic,163.123
400,biphasic,156.802
400,biphasic,169.746
400,biphasic,171.882
400,biphasic,160.201
400,biphasic,152.483
400,biphasic,150.111
400,biphasic,139.525
400,biphasic,149.412
400,biphasic,155.456
400,biphasic,150.659
400,biphasic,156.604
400,biphasic,154.054
400,biphasic,161.78
400,biphasic,160.319
400,biphasic,147.151
400,biphasic,150.432
400,biphasic,150.049
400,biphasic,153.101
400,biphasic,160.546
400,biphasic,149.298
400,biphasic,154.341
400,biphasic,151.115
400,biphasic,154.01
400,biphasic,176.713
400,biphasic,160.599
400,biphasic,143.876
400,biphasic,156.973
400,biphasic,150.584
400,biphasic,153.432
400,biphasic,148.456
400,biphasic,149.776
400,biphasic,169.312
400,biphasic,157.217
400,biphasic,166.921
400,biphasic,149.586
400,biphasic,147.733
400,biphasic,156.818
400,biphasic,163.292
400,biphasic,160.258
400,biphasic,165.097
400,biphasic,146.371
400,biphasic,154.022
400,biphasic,129.589
400,biphasic,149.3
400,biphasic,136.559
400,biphasic,140.3
400,biphasic,141.558
400,biphasic,169.687
400,biphasic,168.472
