phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,446.94,1*threshold,monophasic,0,-84.56548225541094,0.0
40,446.94,1*threshold,monophasic,0,-85.57630057323776,0.0009999999999998899
40,446.94,1*threshold,monophasic,0,-86.5517164816139,0.0019999999999997797
40,446.94,1*threshold,monophasic,0,-87.48877268629859,0.0029999999999998916
40,446.94,1*threshold,monophasic,0,-88.38481569749125,0.0040000000000000036
40,446.94,1*threshold,monophasic,0,-89.2380291503143,0.0050000000000001155
40,446.94,1*threshold,monophasic,0,-90.04755580330614,0.006000000000000005
40,446.94,1*threshold,monophasic,0,-90.81341428109025,0.006999999999999895
40,446.94,1*threshold,monophasic,0,-91.53633560472541,0.008000000000000007
40,446.94,1*threshold,monophasic,0,-92.21758497760476,0.008999999999999897
40,446.94,1*threshold,monophasic,0,-92.85879924070662,0.010000000000000009
40,446.94,1*threshold,monophasic,0,-93.46185141088745,0.010999999999999899
40,446.94,1*threshold,monophasic,0,-94.02874410499861,0.011999999999999789
40,446.94,1*threshold,monophasic,0,-94.56152926087415,0.0129999999999999
40,446.94,1*threshold,monophasic,0,-95.0622499494943,0.014000000000000012
40,446.94,1*threshold,monophasic,0,-95.53289984657337,0.015000000000000124
40,446.94,1*threshold,monophasic,0,-95.97539633633113,0.016000000000000014
40,446.94,1*threshold,monophasic,0,-96.39156385369826,0.016999999999999904
40,446.94,1*threshold,monophasic,0,-96.78312473340688,0.018000000000000016
40,446.94,1*threshold,monophasic,0,-97.15169543503097,0.018999999999999906
40,446.94,1*threshold,monophasic,0,-97.49878651968068,0.019999999999999796
40,446.94,1*threshold,monophasic,0,-97.82580516307677,0.020999999999999908
40,446.94,1*threshold,monophasic,0,-98.13405931040947,0.021999999999999797
40,446.94,1*threshold,monophasic,0,-98.42476282455213,0.02300000000000013
40,446.94,1*threshold,monophasic,0,-98.6990411651447,0.02400000000000002
40,446.94,1*threshold,monophasic,0,-98.95793727468829,0.02499999999999991
40,446.94,1*threshold,monophasic,0,-99.2024174499662,0.026000000000000023
40,446.94,1*threshold,monophasic,0,-99.43337705161726,0.026999999999999913
40,446.94,1*threshold,monophasic,0,-99.65164595844205,0.028000000000000025
40,446.94,1*threshold,monophasic,0,-99.85799371134974,0.028999999999999915
40,446.94,1*threshold,monophasic,0,-100.05313431880899,0.029999999999999805
40,446.94,1*threshold,monophasic,0,-100.23773071429927,0.030999999999999917
40,446.94,1*threshold,monophasic,0,-100.41239886884838,0.03200000000000003
40,446.94,1*threshold,monophasic,0,-100.57771156997498,0.03299999999999992
40,446.94,1*threshold,monophasic,0,-100.7342018834767,0.03400000000000003
40,446.94,1*threshold,monophasic,0,-100.8823663174258,0.03499999999999992
40,446.94,1*threshold,monophasic,0,-101.0226677091232,0.03600000000000003
40,446.94,1*threshold,monophasic,0,-101.15553785609866,0.03699999999999992
40,446.94,1*threshold,monophasic,0,-101.28137991188156,0.03799999999999981
40,446.94,1*threshold,monophasic,0,-101.40057056645,0.038999999999999924
40,446.94,1*threshold,monophasic,0,-101.51346203017908,0.039999999999999813
40,446.94,1*threshold,monophasic,0,-100.60956352021394,0.04100000000000015
40,446.94,1*threshold,monophasic,0,-99.73540566304455,0.04200000000000004
40,446.94,1*threshold,monophasic,0,-98.89423572703261,0.04299999999999993
40,446.94,1*threshold,monophasic,0,-98.08897864870526,0.04400000000000004
40,446.94,1*threshold,monophasic,0,-97.32170498466193,0.04499999999999993
40,446.94,1*threshold,monophasic,0,-96.59351009741803,0.04600000000000004
40,446.94,1*threshold,monophasic,0,-95.90459850319114,0.04699999999999993
40,446.94,1*threshold,monophasic,0,-95.25444833835935,0.04799999999999982
40,446.94,1*threshold,monophasic,0,-94.64199048267976,0.04899999999999993
40,446.94,1*threshold,monophasic,0,-94.06577193534505,0.050000000000000044
40,446.94,1*threshold,monophasic,0,-93.52409204189706,0.050999999999999934
40,446.94,1*threshold,monophasic,0,-93.0151097809513,0.052000000000000046
40,446.94,1*threshold,monophasic,0,-92.53692471017176,0.052999999999999936
40,446.94,1*threshold,monophasic,0,-92.08763578570557,0.05400000000000005
40,446.94,1*threshold,monophasic,0,-91.66538249309863,0.05499999999999994
40,446.94,1*threshold,monophasic,0,-91.26837232102963,0.05599999999999983
40,446.94,1*threshold,monophasic,0,-90.89489797380843,0.05699999999999994
40,446.94,1*threshold,monophasic,0,-90.54334705487922,0.05799999999999983
40,446.94,1*threshold,monophasic,0,-90.21220635186485,0.05899999999999994
40,446.94,1*threshold,monophasic,0,-89.90006234636274,0.06000000000000005
40,446.94,1*threshold,monophasic,0,-89.60559916234124,0.06099999999999994
40,446.94,1*threshold,monophasic,0,-89.32759484624614,0.062000000000000055
40,446.94,1*threshold,monophasic,0,-89.06491662591222,0.06299999999999994
40,446.94,1*threshold,monophasic,0,-88.81651560971963,0.06400000000000006
40,446.94,1*threshold,monophasic,0,-88.58142124918706,0.06499999999999995
40,446.94,1*threshold,monophasic,0,-88.35873578643094,0.06599999999999984
40,446.94,1*threshold,monophasic,0,-88.1476288338243,0.06699999999999995
40,446.94,1*threshold,monophasic,0,-87.94733217981846,0.06799999999999984
40,446.94,1*threshold,monophasic,0,-87.75713487690979,0.06899999999999995
40,446.94,1*threshold,monophasic,0,-87.57637864106289,0.07000000000000006
40,446.94,1*threshold,monophasic,0,-87.4044535735013,0.07099999999999995
40,446.94,1*threshold,monophasic,0,-87.24079420335356,0.07200000000000006
40,446.94,1*threshold,monophasic,0,-87.08487584152451,0.07299999999999995
40,446.94,1*threshold,monophasic,0,-86.93621123109773,0.07399999999999984
40,446.94,1*threshold,monophasic,0,-86.79434747666797,0.07499999999999996
40,446.94,1*threshold,monophasic,0,-86.65886323358538,0.07599999999999985
40,446.94,1*threshold,monophasic,0,-86.52936613769772,0.07699999999999996
40,446.94,1*threshold,monophasic,0,-86.40549045645467,0.07800000000000007
40,446.94,1*threshold,monophasic,0,-86.28689494294925,0.07899999999999996
40,446.94,1*threshold,monophasic,0,-86.17326087544646,0.08000000000000007
40,446.94,1*threshold,monophasic,0,-86.06429026606273,0.08099999999999996
40,446.94,1*threshold,monophasic,0,-85.95970422343999,0.08199999999999985
40,446.94,1*threshold,monophasic,0,-85.85924145543969,0.08299999999999996
40,446.94,1*threshold,monophasic,0,-85.76265689904378,0.08399999999999985
40,446.94,1*threshold,monophasic,0,-85.6697204657566,0.08499999999999996
40,446.94,1*threshold,monophasic,0,-85.5802158918554,0.08599999999999985
40,446.94,1*threshold,monophasic,0,-85.49393968382458,0.08699999999999997
40,446.94,1*threshold,monophasic,0,-85.410700150232,0.08800000000000008
40,446.94,1*threshold,monophasic,0,-85.33031651216838,0.08899999999999997
40,446.94,1*threshold,monophasic,0,-85.25261808517182,0.09000000000000008
40,446.94,1*threshold,monophasic,0,-85.17744352630592,0.09099999999999997
40,446.94,1*threshold,monophasic,0,-85.10464014074971,0.09199999999999986
40,446.94,1*threshold,monophasic,0,-85.03406324289654,0.09299999999999997
40,446.94,1*threshold,monophasic,0,-84.96557556754261,0.09399999999999986
40,446.94,1*threshold,monophasic,0,-84.8990467272749,0.09499999999999997
40,446.94,1*threshold,monophasic,0,-84.83435271263976,0.09599999999999986
40,446.94,1*threshold,monophasic,0,-84.77137543208188,0.09699999999999998
40,446.94,1*threshold,monophasic,0,-84.71000228898966,0.09800000000000009
40,446.94,1*threshold,monophasic,0,-84.65012579345755,0.09899999999999998
40,446.94,1*threshold,monophasic,0,-84.59164320658566,0.09999999999999987
40,446.94,1*threshold,monophasic,0,-84.53445621527405,0.10099999999999998
40,446.94,1*threshold,monophasic,0,-84.47847063554576,0.10199999999999987
40,446.94,1*threshold,monophasic,0,-84.42359614244818,0.10299999999999998
40,446.94,1*threshold,monophasic,0,-84.36974602455344,0.10399999999999987
40,446.94,1*threshold,monophasic,0,-84.31683696101305,0.10499999999999976
40,446.94,1*threshold,monophasic,0,-84.26478881903766,0.1060000000000001
40,446.94,1*threshold,monophasic,0,-84.2135244695863,0.10699999999999998
40,446.94,1*threshold,monophasic,0,-84.16296961897353,0.1080000000000001
40,446.94,1*threshold,monophasic,0,-84.11305265405719,0.10899999999999999
40,446.94,1*threshold,monophasic,0,-84.0637044986631,0.10999999999999988
40,446.94,1*threshold,monophasic,0,-84.01485847894725,0.11099999999999999
