phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
14.0,917.4377441406253
15.0,867.1997070312499
17.0,784.5336914062503
19.0,719.3725585937499
22.0,644.024658203125
24.0,604.3579101562501
27.0,556.0058593750001
30.0,517.4499511718751
34.0,476.77612304687483
38.0,444.7998046875
42.0,419.03076171875006
48.0,388.61083984375006
53.0,368.65234375000006
60.0,346.478271484375
67.0,329.10766601562506
75.0,313.4094238281251
84.0,299.51171875
94.0,287.39013671875006
105.0,276.92260742187506
118.0,267.28515625000006
132.0,259.24072265625006
147.0,252.52075195312497
165.0,246.2890625
185.0,240.997314453125
207.0,236.56616210937503
232.0,232.769775390625
260.0,229.60205078125003
291.0,227.0263671875
326.0,224.93896484375
365.0,223.321533203125
408.0,222.13134765625003
457.0,221.28906250000003
512.0,220.758056640625
