phase duration (us),pulse form,threshold
40,monophasic,323.824
40,monophasic,312.284
40,monophasic,314.392
40,monophasic,317.965
40,monophasic,325.284
40,monophasic,309.571
40,monophasic,330.831
40,monophasic,333.336
40,monophasic,318.523
40,monophasic,335.564
40,monophasic,318.367
40,monophasic,316.313
40,monophasic,282.558
40,monophasic,320.147
40,monophasic,305.093
40,monophasic,299.81
40,monophasic,321.176
40,monophasic,283.866
40,monophasic,366.692
40,monophasic,291.027
40,monophasic,285.267
40,monophasic,354.242
40,monophasic,297.852
40,monophasic,354.646
40,monophasic,314.837
40,monophasic,323.231
40,monophasic,350.442
40,monophasic,314.925
40,monophasic,323.037
40,monophasic,297.874
40,monophasic,310.434
40,monophasic,321.813
40,monophasic,281.061
40,monophasic,302.271
40,monophasic,312.404
40,monophasic,324.463
40,monophasic,294.885
40,monophasic,319.459
40,monophasic,367.582
40,monophasic,325.807
40,monophasic,328.76
40,monophasic,299.056
40,monophasic,332.158
40,monophasic,340.288
40,monophasic,307.335
40,monophasic,316.614
40,monophasic,300.9
40,monophasic,349.791
40,monophasic,323.583
40,monophasic,298.209
40,monophasic,321.161
40,monophasic,293.532
40,monophasic,313.696
40,monophasic,302.943
40,monophasic,299.415
40,monophasic,321.284
40,monophasic,305.476
40,monophasic,329.539
100,monophasic,153.298
100,monophasic,147.194
100,monophasic,160.204
100,monophasic,163.709
100,monophasic,150.872
100,monophasic,148.007
100,monophasic,160.69
100,monophasic,133.987
100,monophasic,177.996
100,monophasic,146.689
100,monophasic,151.151
100,monophasic,148.057
100,monophasic,143.718
100,monophasic,142.045
100,monophasic,202.63
100,monophasic,143.701
100,monophasic,133.373
100,monophasic,144.612
100,monophasic,150.633
100,monophasic,150.175
100,monophasic,150.334
100,monophasic,193.744
100,monophasic,143.54
100,monophasic,172.096
100,monophasic,144.615
100,monophasic,187.448
100,monophasic,151.917
100,monophasic,155.042
100,monophasic,135.019
100,monophasic,150.234
100,monophasic,146.214
100,monophasic,132.853
100,monophasic,161.407
100,monophasic,145.199
100,monophasic,135.946
100,monophasic,141.005
100,monophasic,137.96
100,monophasic,142.473
100,monophasic,146.79
100,monophasic,132.648
100,monophasic,147.068
100,monophasic,159.858
100,monophasic,127.54
100,monophasic,132.357
100,monophasic,145.465
100,monophasic,143.45
100,monophasic,167.939
100,monophasic,151.038
100,monophasic,153.405
100,monophasic,146.649
100,monophasic,151.358
100,monophasic,161.516
100,monophasic,160.894
100,monophasic,150.233
100,monophasic,147.001
100,monophasic,141.093
100,monophasic,150.877
100,monophasic,146.421
200,biphasic,97.882
200,biphasic,586.547
200,biphasic,98.384
200,biphasic,84.838
200,biphasic,107.415
200,biphasic,83.141
200,biphasic,72.872
200,biphasic,85.641
200,biphasic,95.965
200,biphasic,92.901
200,biphasic,117.306
200,biphasic,65.757
200,biphasic,80.391
200,biphasic,94.319
200,biphasic,100.832
200,biphasic,65.923
200,biphasic,100.598
200,biphasic,105.862
200,biphasic,88.535
200,biphasic,90.79
200,biphasic,97.857
200,biphasic,105.018
200,biphasic,104.208
200,biphasic,96.425
200,biphasic,99.872
200,biphasic,78.163
200,biphasic,93.463
200,biphasic,81.71
200,biphasic,89.922
200,biphasic,87.816
200,biphasic,89.886
200,biphasic,101.703
200,biphasic,97.035
200,biphasic,124.952
200,biphasic,94.297
200,biphasic,90.955
200,biphasic,107.963
200,biphasic,94.559
200,biphasic,99.454
200,biphasic,103.654
200,biphasic,109.811
200,biphasic,106.166
200,biphasic,104.535
200,biphasic,104.325
200,biphasic,97.148
200,biphasic,108.264
200,biphasic,98.426
200,biphasic,89.542
200,biphasic,49.095
200,biphasic,88.006
200,biphasic,95.38
200,biphasic,120.544
200,biphasic,88.18
200,biphasic,88.87
200,biphasic,95.566
200,biphasic,65.093
200,biphasic,95.183
200,biphasic,98.012
200,biphasic,102.21
200,biphasic,65.148
400,biphasic,56.541
400,biphasic,69.814
400,biphasic,70.384
400,biphasic,44.352
400,biphasic,60.975
400,biphasic,50.523
400,biphasic,65.088
400,biphasic,57.552
400,biphasic,60.81
400,biphasic,48.706
400,biphasic,327.467
400,biphasic,40.898
400,biphasic,66.066
400,biphasic,59.897
400,biphasic,36.268
400,biphasic,65.705
400,biphasic,42.782
400,biphasic,40.945
400,biphasic,54.157
400,biphasic,57.595
400,biphasic,40.802
400,biphasic,53.811
400,biphasic,48.178
400,biphasic,49.999
400,biphasic,59.638
400,biphasic,47.54
400,biphasic,58.438
400,biphasic,71.624
400,biphasic,16.744
400,biphasic,87.617
400,biphasic,66.166
400,biphasic,60.899
400,biphasic,39.298
400,biphasic,43.097
400,biphasic,56.282
400,biphasic,110.345
400,biphasic,44.458
400,biphasic,59.649
400,biphasic,57.206
400,biphasic,58.86
400,biphasic,50.626
400,biphasic,61.187
400,biphasic,70.62
400,biphasic,47.027
400,biphasic,61.833
400,biphasic,60.128
400,biphasic,49.768
400,biphasic,45.987
400,biphasic,60.517
400,biphasic,77.055
400,biphasic,43.783
400,biphasic,59.25
400,biphasic,52.635
400,biphasic,57.082
400,biphasic,70.935
400,biphasic,52.48
400,biphasic,52.132
400,biphasic,50.901
400,biphasic,94.333
400,biphasic,58.295
