phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,313.87,1*threshold,monophasic,0,-64.99999999998634,0.0
40,313.87,1*threshold,monophasic,0,-65.0150446598969,0.0009999999999998899
40,313.87,1*threshold,monophasic,0,-65.02851008879297,0.0019999999999997797
40,313.87,1*threshold,monophasic,0,-65.04089593018995,0.0029999999999998916
40,313.87,1*threshold,monophasic,0,-65.05254538178902,0.0040000000000000036
40,313.87,1*threshold,monophasic,0,-65.0636942241508,0.0050000000000001155
40,313.87,1*threshold,monophasic,0,-65.07450448285346,0.006000000000000005
40,313.87,1*threshold,monophasic,0,-65.08508754052104,0.006999999999999895
40,313.87,1*threshold,monophasic,0,-65.09552000544032,0.008000000000000007
40,313.87,1*threshold,monophasic,0,-65.10585460702268,0.008999999999999897
40,313.87,1*threshold,monophasic,0,-65.116127676785,0.010000000000000009
40,313.87,1*threshold,monophasic,0,-65.12636428498217,0.010999999999999899
40,313.87,1*threshold,monophasic,0,-65.13658176761295,0.011999999999999789
40,313.87,1*threshold,monophasic,0,-65.1467921482406,0.0129999999999999
40,313.87,1*threshold,monophasic,0,-65.15700380096675,0.014000000000000012
40,313.87,1*threshold,monophasic,0,-65.16722259234874,0.015000000000000124
40,313.87,1*threshold,monophasic,0,-65.1774526655249,0.016000000000000014
40,313.87,1*threshold,monophasic,0,-65.18769697864316,0.016999999999999904
40,313.87,1*threshold,monophasic,0,-65.19795767455908,0.018000000000000016
40,313.87,1*threshold,monophasic,0,-65.20823633464859,0.018999999999999906
40,313.87,1*threshold,monophasic,0,-65.21853415302087,0.019999999999999796
40,313.87,1*threshold,monophasic,0,-65.22885205604695,0.020999999999999908
40,313.87,1*threshold,monophasic,0,-65.23919078431365,0.021999999999999797
40,313.87,1*threshold,monophasic,0,-65.24955094875253,0.02300000000000013
40,313.87,1*threshold,monophasic,0,-65.25993306901448,0.02400000000000002
40,313.87,1*threshold,monophasic,0,-65.27033759963379,0.02499999999999991
40,313.87,1*threshold,monophasic,0,-65.28076494779127,0.026000000000000023
40,313.87,1*threshold,monophasic,0,-65.29121548529533,0.026999999999999913
40,313.87,1*threshold,monophasic,0,-65.30168955658192,0.028000000000000025
40,313.87,1*threshold,monophasic,0,-65.31218748397288,0.028999999999999915
40,313.87,1*threshold,monophasic,0,-65.32270957104699,0.029999999999999805
40,313.87,1*threshold,monophasic,0,-65.33325610471245,0.030999999999999917
40,313.87,1*threshold,monophasic,0,-65.34382735638837,0.03200000000000003
40,313.87,1*threshold,monophasic,0,-65.35442358257698,0.03299999999999992
40,313.87,1*threshold,monophasic,0,-65.36504502502274,0.03400000000000003
40,313.87,1*threshold,monophasic,0,-65.37569191059458,0.03499999999999992
40,313.87,1*threshold,monophasic,0,-65.38636445098722,0.03600000000000003
40,313.87,1*threshold,monophasic,0,-65.39706284230877,0.03699999999999992
40,313.87,1*threshold,monophasic,0,-65.40778726460223,0.03799999999999981
40,313.87,1*threshold,monophasic,0,-65.41853788133487,0.038999999999999924
40,313.87,1*threshold,monophasic,0,-65.42931483887982,0.039999999999999813
40,313.87,1*threshold,monophasic,0,-65.42507334262758,0.04100000000000015
40,313.87,1*threshold,monophasic,0,-65.42243761813414,0.04200000000000004
40,313.87,1*threshold,monophasic,0,-65.42090827309856,0.04299999999999993
40,313.87,1*threshold,monophasic,0,-65.42014229939986,0.04400000000000004
40,313.87,1*threshold,monophasic,0,-65.41990405898045,0.04499999999999993
40,313.87,1*threshold,monophasic,0,-65.42003163122412,0.04600000000000004
40,313.87,1*threshold,monophasic,0,-65.42041370706059,0.04699999999999993
40,313.87,1*threshold,monophasic,0,-65.42097372422396,0.04799999999999982
40,313.87,1*threshold,monophasic,0,-65.4216589741985,0.04899999999999993
40,313.87,1*threshold,monophasic,0,-65.42243312271293,0.050000000000000044
40,313.87,1*threshold,monophasic,0,-65.42327107400614,0.050999999999999934
40,313.87,1*threshold,monophasic,0,-65.42415544437549,0.052000000000000046
40,313.87,1*threshold,monophasic,0,-65.42507414071657,0.052999999999999936
40,313.87,1*threshold,monophasic,0,-65.42601869781083,0.05400000000000005
40,313.87,1*threshold,monophasic,0,-65.42698313662926,0.05499999999999994
40,313.87,1*threshold,monophasic,0,-65.42796318042353,0.05599999999999983
40,313.87,1*threshold,monophasic,0,-65.42895571652886,0.05699999999999994
40,313.87,1*threshold,monophasic,0,-65.42995842692362,0.05799999999999983
40,313.87,1*threshold,monophasic,0,-65.43096953470517,0.05899999999999994
40,313.87,1*threshold,monophasic,0,-65.43198763019794,0.06000000000000005
40,313.87,1*threshold,monophasic,0,-65.43301155177751,0.06099999999999994
40,313.87,1*threshold,monophasic,0,-65.4340403042993,0.062000000000000055
40,313.87,1*threshold,monophasic,0,-65.4350730033794,0.06299999999999994
40,313.87,1*threshold,monophasic,0,-65.4361088374548,0.06400000000000006
40,313.87,1*threshold,monophasic,0,-65.43714704207589,0.06499999999999995
40,313.87,1*threshold,monophasic,0,-65.43818688261923,0.06599999999999984
40,313.87,1*threshold,monophasic,0,-65.43922764279912,0.06699999999999995
40,313.87,1*threshold,monophasic,0,-65.44026861717443,0.06799999999999984
40,313.87,1*threshold,monophasic,0,-65.44130910640894,0.06899999999999995
40,313.87,1*threshold,monophasic,0,-65.44234841442895,0.07000000000000006
