phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
14.0,0.0
15.0,0.0
17.0,0.0
19.0,926.5380859375
22.0,801.9897460937499
24.0,736.328125
27.0,656.1828613281251
30.0,592.1691894531251
34.0,524.5239257812501
38.0,471.24633789062483
42.0,428.22265625
48.0,377.30102539062494
53.0,343.80493164062506
60.0,306.44531250000006
67.0,277.05078125000006
75.0,250.32958984375
84.0,226.52587890625
94.0,205.59082031250003
105.0,187.34741210937503
118.0,170.37353515625
132.0,156.04248046875003
147.0,143.92089843749997
165.0,132.51953125
185.0,122.723388671875
207.0,114.41650390625
232.0,107.2021484375
260.0,101.116943359375
291.0,96.13037109375
326.0,92.071533203125
365.0,88.92211914062499
408.0,86.63330078125004
457.0,85.052490234375
512.0,84.09423828125001
