phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,939.27001953125
14.0,812.97607421875
15.0,762.21923828125
17.0,678.253173828125
19.0,611.3281250000001
22.0,533.9294433593749
24.0,492.73071289062506
27.0,442.17529296875
30.0,401.58081054687483
34.0,358.453369140625
38.0,324.31030273437506
42.0,296.47216796875
48.0,263.70849609375006
53.0,241.96166992187497
60.0,217.61474609375
67.0,198.37036132812497
75.0,180.81054687500003
84.0,165.09399414062503
94.0,151.20239257812497
105.0,139.02587890625003
118.0,127.52685546875004
132.0,117.901611328125
147.0,109.600830078125
165.0,101.69677734375
185.0,94.78759765625
207.0,88.818359375
232.0,83.3984375
260.0,78.85742187500001
291.0,74.786376953125
326.0,71.47216796874999
365.0,68.609619140625
408.0,66.29028320312499
457.0,64.422607421875
512.0,62.86010742187498
