pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,279.3,1*threshold,0,0.0033749999999999995
400,279.3,1*threshold,0,0.005874999999999999
400,279.3,1*threshold,0,0.010865
400,279.3,1*threshold,0,0.01334
400,279.3,1*threshold,0,0.015905
400,279.3,1*threshold,0,0.01842
400,279.3,1*threshold,0,0.02088
400,279.3,1*threshold,0,0.023399999999999997
400,279.3,1*threshold,0,0.03333
400,279.3,1*threshold,0,0.03852
400,279.3,1*threshold,0,0.040944999999999995
400,279.3,1*threshold,0,0.043315
400,279.3,1*threshold,0,0.045869999999999994
400,279.3,1*threshold,0,0.05084999999999999
400,279.3,1*threshold,0,0.053329999999999995
400,279.3,1*threshold,0,0.060844999999999996
400,279.3,1*threshold,0,0.06337
400,279.3,1*threshold,0,0.06615499999999999
400,279.3,1*threshold,0,0.06838499999999999
400,279.3,1*threshold,0,0.07093999999999999
400,279.3,1*threshold,0,0.083365
400,279.3,1*threshold,0,0.08591499999999999
400,279.3,1*threshold,0,0.08840999999999999
400,279.3,1*threshold,0,0.09586499999999999
400,279.3,1*threshold,0,0.09838
400,279.3,1*threshold,0,0.10336
400,279.3,1*threshold,0,0.10588499999999999
400,279.3,1*threshold,0,0.10838999999999999
400,279.3,1*threshold,0,0.11087499999999999
400,279.3,1*threshold,0,0.113575
400,279.3,1*threshold,0,0.11588999999999999
400,279.3,1*threshold,0,0.12093499999999999
400,279.3,1*threshold,0,0.12343499999999999
400,279.3,1*threshold,0,0.128345
400,279.3,1*threshold,0,0.1359
400,279.3,1*threshold,0,0.13840999999999998
400,279.3,1*threshold,0,0.1409
400,279.3,1*threshold,0,0.143505
400,279.3,1*threshold,0,0.14597
400,279.3,1*threshold,0,0.14837499999999998
400,279.3,1*threshold,0,0.150885
400,279.3,1*threshold,0,0.15356999999999998
400,279.3,1*threshold,0,0.15586
400,279.3,1*threshold,0,0.161105
400,279.3,1*threshold,0,0.16339499999999998
400,279.3,1*threshold,0,0.16587
400,279.3,1*threshold,0,0.1785
400,279.3,1*threshold,0,0.180885
400,279.3,1*threshold,0,0.18584499999999998
400,279.3,1*threshold,0,0.195955
400,279.3,1*threshold,0,0.20340999999999998
400,279.3,1*threshold,0,0.20847999999999997
400,279.3,1*threshold,0,0.21096499999999999
400,279.3,1*threshold,0,0.21838499999999997
400,279.3,1*threshold,0,0.22082
400,279.3,1*threshold,0,0.22579999999999997
400,279.3,1*threshold,0,0.22837
400,279.3,1*threshold,0,0.23091499999999998
400,279.3,1*threshold,0,0.23338499999999998
400,279.3,1*threshold,0,0.23834999999999998
400,279.3,1*threshold,0,0.24090499999999998
400,279.3,1*threshold,0,0.243495
400,279.3,1*threshold,0,0.24582999999999997
400,279.3,1*threshold,0,0.253345
400,279.3,1*threshold,0,0.258445
400,279.3,1*threshold,0,0.260895
400,279.3,1*threshold,0,0.26364
400,279.3,1*threshold,0,0.268625
400,279.3,1*threshold,0,0.273335
400,279.3,1*threshold,0,0.27841
400,279.3,1*threshold,0,0.280865
400,279.3,1*threshold,0,0.28341
400,279.3,1*threshold,1,0.005835
400,279.3,1*threshold,1,0.01095
400,279.3,1*threshold,1,0.013364999999999998
400,279.3,1*threshold,1,0.015924999999999998
400,279.3,1*threshold,1,0.01833
400,279.3,1*threshold,1,0.023569999999999997
400,279.3,1*threshold,1,0.033519999999999994
400,279.3,1*threshold,1,0.035899999999999994
400,279.3,1*threshold,1,0.040905
400,279.3,1*threshold,1,0.048534999999999995
400,279.3,1*threshold,1,0.051
400,279.3,1*threshold,1,0.05334
400,279.3,1*threshold,1,0.06088
400,279.3,1*threshold,1,0.06344999999999999
400,279.3,1*threshold,1,0.06592999999999999
400,279.3,1*threshold,1,0.06834499999999999
400,279.3,1*threshold,1,0.07095499999999999
400,279.3,1*threshold,1,0.07336
400,279.3,1*threshold,1,0.07586
400,279.3,1*threshold,1,0.07838999999999999
400,279.3,1*threshold,1,0.08596
400,279.3,1*threshold,1,0.09111
400,279.3,1*threshold,1,0.09841
400,279.3,1*threshold,1,0.10092
400,279.3,1*threshold,1,0.128355
400,279.3,1*threshold,1,0.13594499999999998
400,279.3,1*threshold,1,0.14337499999999997
400,279.3,1*threshold,1,0.145925
400,279.3,1*threshold,1,0.14845499999999998
400,279.3,1*threshold,1,0.15342999999999998
400,279.3,1*threshold,1,0.155935
400,279.3,1*threshold,1,0.15836499999999998
400,279.3,1*threshold,1,0.160955
400,279.3,1*threshold,1,0.16338999999999998
400,279.3,1*threshold,1,0.17088499999999998
400,279.3,1*threshold,1,0.17351999999999998
400,279.3,1*threshold,1,0.17587499999999998
400,279.3,1*threshold,1,0.17839
400,279.3,1*threshold,1,0.18089999999999998
400,279.3,1*threshold,1,0.18333
400,279.3,1*threshold,1,0.18597
400,279.3,1*threshold,1,0.19602999999999998
400,279.3,1*threshold,1,0.19836499999999999
400,279.3,1*threshold,1,0.20101
400,279.3,1*threshold,1,0.205895
400,279.3,1*threshold,1,0.208415
400,279.3,1*threshold,1,0.21339499999999997
400,279.3,1*threshold,1,0.22115999999999997
400,279.3,1*threshold,1,0.22840499999999997
400,279.3,1*threshold,1,0.23335999999999998
400,279.3,1*threshold,1,0.24086499999999997
400,279.3,1*threshold,1,0.24863499999999997
400,279.3,1*threshold,1,0.25103
400,279.3,1*threshold,1,0.26098
400,279.3,1*threshold,1,0.263455
400,279.3,1*threshold,1,0.27592999999999995
400,279.3,1*threshold,1,0.27834499999999995
400,279.3,1*threshold,1,0.28589
400,279.3,1*threshold,1,0.288435
400,279.3,1*threshold,1,0.290935
400,279.3,1*threshold,1,0.29345499999999997
400,279.3,1*threshold,2,0.0009249999999999999
400,279.3,1*threshold,2,0.0033749999999999995
400,279.3,1*threshold,2,0.006019999999999999
400,279.3,1*threshold,2,0.008385
400,279.3,1*threshold,2,0.01334
400,279.3,1*threshold,2,0.028599999999999997
400,279.3,1*threshold,2,0.03337
400,279.3,1*threshold,2,0.035879999999999995
400,279.3,1*threshold,2,0.038435
400,279.3,1*threshold,2,0.041005
400,279.3,1*threshold,2,0.045974999999999995
400,279.3,1*threshold,2,0.06584
400,279.3,1*threshold,2,0.068495
400,279.3,1*threshold,2,0.07338499999999999
400,279.3,1*threshold,2,0.07836
400,279.3,1*threshold,2,0.08589
400,279.3,1*threshold,2,0.09598499999999999
400,279.3,1*threshold,2,0.09842
400,279.3,1*threshold,2,0.10096499999999999
400,279.3,1*threshold,2,0.10590999999999999
400,279.3,1*threshold,2,0.10832499999999999
400,279.3,1*threshold,2,0.11340499999999999
400,279.3,1*threshold,2,0.11596
400,279.3,1*threshold,2,0.11835499999999999
400,279.3,1*threshold,2,0.12106999999999998
400,279.3,1*threshold,2,0.12340499999999999
400,279.3,1*threshold,2,0.12838999999999998
400,279.3,1*threshold,2,0.131075
400,279.3,1*threshold,2,0.13587
400,279.3,1*threshold,2,0.13838499999999998
400,279.3,1*threshold,2,0.15835
400,279.3,1*threshold,2,0.160955
400,279.3,1*threshold,2,0.17336
400,279.3,1*threshold,2,0.17834999999999998
400,279.3,1*threshold,2,0.18341999999999997
400,279.3,1*threshold,2,0.186265
400,279.3,1*threshold,2,0.19099499999999997
400,279.3,1*threshold,2,0.193435
400,279.3,1*threshold,2,0.196205
400,279.3,1*threshold,2,0.20339999999999997
400,279.3,1*threshold,2,0.20590499999999998
400,279.3,1*threshold,2,0.20845499999999997
400,279.3,1*threshold,2,0.21081999999999998
400,279.3,1*threshold,2,0.21341
400,279.3,1*threshold,2,0.23088499999999998
400,279.3,1*threshold,2,0.23338499999999998
400,279.3,1*threshold,2,0.23585499999999998
400,279.3,1*threshold,2,0.238415
400,279.3,1*threshold,2,0.24332499999999999
400,279.3,1*threshold,2,0.24591999999999997
400,279.3,1*threshold,2,0.248465
400,279.3,1*threshold,2,0.25347
400,279.3,1*threshold,2,0.255885
400,279.3,1*threshold,2,0.25843499999999997
400,279.3,1*threshold,2,0.26600999999999997
400,279.3,1*threshold,2,0.26857499999999995
400,279.3,1*threshold,2,0.27091499999999996
400,279.3,1*threshold,2,0.28586999999999996
400,279.3,1*threshold,2,0.29590999999999995
400,279.3,1*threshold,3,0.005925
400,279.3,1*threshold,3,0.008459999999999999
400,279.3,1*threshold,3,0.010839999999999999
400,279.3,1*threshold,3,0.013389999999999999
400,279.3,1*threshold,3,0.015954999999999997
400,279.3,1*threshold,3,0.0185
400,279.3,1*threshold,3,0.0209
