phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,run,membrane potential (mV),time (ms)
40,275.86,1*threshold,monophasic,0,-88.2444450546274,0.0
40,275.86,1*threshold,monophasic,0,-88.36251121785077,0.0009999999999998899
40,275.86,1*threshold,monophasic,0,-88.48154093623687,0.0019999999999997797
40,275.86,1*threshold,monophasic,0,-88.59909853234072,0.0029999999999998916
40,275.86,1*threshold,monophasic,0,-88.7147714053402,0.0040000000000000036
40,275.86,1*threshold,monophasic,0,-88.8281572149701,0.0050000000000001155
40,275.86,1*threshold,monophasic,0,-88.93881212869196,0.006000000000000005
40,275.86,1*threshold,monophasic,0,-89.04631145959141,0.006999999999999895
40,275.86,1*threshold,monophasic,0,-89.15029521225317,0.008000000000000007
40,275.86,1*threshold,monophasic,0,-89.2504901349814,0.008999999999999897
40,275.86,1*threshold,monophasic,0,-89.34671359379226,0.010000000000000009
40,275.86,1*threshold,monophasic,0,-89.43886636311656,0.010999999999999899
40,275.86,1*threshold,monophasic,0,-89.52692011660082,0.011999999999999789
40,275.86,1*threshold,monophasic,0,-89.610903443696,0.0129999999999999
40,275.86,1*threshold,monophasic,0,-89.6908885488247,0.014000000000000012
40,275.86,1*threshold,monophasic,0,-89.7669796381783,0.015000000000000124
40,275.86,1*threshold,monophasic,0,-89.83930330507442,0.016000000000000014
40,275.86,1*threshold,monophasic,0,-89.9080008547517,0.016999999999999904
40,275.86,1*threshold,monophasic,0,-89.97322234164317,0.018000000000000016
40,275.86,1*threshold,monophasic,0,-90.0351220387888,0.018999999999999906
40,275.86,1*threshold,monophasic,0,-90.09385506425367,0.019999999999999796
40,275.86,1*threshold,monophasic,0,-90.14957492053142,0.020999999999999908
40,275.86,1*threshold,monophasic,0,-90.2024317422456,0.021999999999999797
40,275.86,1*threshold,monophasic,0,-90.25257108621234,0.02300000000000013
40,275.86,1*threshold,monophasic,0,-90.30013313230863,0.02400000000000002
40,275.86,1*threshold,monophasic,0,-90.34525219241688,0.02499999999999991
40,275.86,1*threshold,monophasic,0,-90.38805644808436,0.026000000000000023
40,275.86,1*threshold,monophasic,0,-90.42866785607005,0.026999999999999913
40,275.86,1*threshold,monophasic,0,-90.46720217544711,0.028000000000000025
