phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,929.376220703125
14.0,798.9807128906251
15.0,746.875
17.0,661.151123046875
19.0,593.5791015625001
22.0,515.4296875
24.0,474.27978515625
27.0,424.12109375
30.0,384.11865234375017
34.0,341.93725585937506
38.0,308.795166015625
42.0,282.10449218750006
48.0,250.62255859375009
53.0,229.98657226562503
60.0,207.07397460937503
67.0,189.129638671875
75.0,172.91259765625003
84.0,158.55102539062497
94.0,146.01440429687503
105.0,135.16845703125
118.0,125.164794921875
132.0,116.802978515625
147.0,109.820556640625
165.0,103.338623046875
185.0,97.869873046875
207.0,93.3349609375
232.0,89.50805664062501
260.0,86.4013671875
291.0,83.97827148437501
326.0,82.12890625000003
365.0,80.81665039062501
408.0,0.0
457.00000000000006,0.0
512.0,0.0
