phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,968.45703125
11.0,885.760498046875
12.0,816.522216796875
14.0,707.0373535156253
15.0,662.9821777343751
17.0,590.057373046875
19.0,532.1472167968751
22.0,464.63012695312506
24.0,428.826904296875
27.0,384.92431640625006
30.0,349.68872070312517
34.0,312.2985839843751
38.0,282.73315429687494
42.0,258.795166015625
48.0,230.38330078125
53.0,211.65771484375
60.0,190.74096679687503
67.0,174.26147460937509
75.0,159.27734375000003
84.0,145.91674804687503
94.0,134.16137695312497
105.0,123.91967773437504
118.0,114.385986328125
132.0,106.329345703125
147.0,99.51171875
165.0,93.0908203125
185.0,87.567138671875
207.0,82.879638671875
232.0,78.80859375000001
260.0,75.390625
291.0,72.613525390625
326.0,70.39794921875
365.0,68.719482421875
408.0,67.49267578125
457.00000000000006,66.54052734375001
512.0,65.78979492187501
